2021-11-10 17:03:14.017 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\InteractionCentricDashboards\{70ad8b15-e3f3-4d7d-9e4b-16cb4e51b484}.xml
2021-11-10 17:03:14.020 - Info	Processing Component: WebResources
2021-11-10 17:03:14.020 - Info	 - new_/js/accountScripts.js
2021-11-10 17:03:14.023 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_\js\accountScripts.js.data.xml
2021-11-10 17:03:14.034 - Warning	Solution may not repack due to missing mapped file for: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_\js\accountScripts.js
2021-11-10 17:03:14.034 - Info	Skipping 'C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_\js\accountScripts.js' as it matches a mapping directive
2021-11-10 17:03:14.034 - Info	 - new_MyHtmlResource
2021-11-10 17:03:14.034 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_MyHtmlResource.data.xml
2021-11-10 17:03:14.037 - Warning	Solution may not repack due to missing mapped file for: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_MyHtmlResource
2021-11-10 17:03:14.037 - Info	Skipping 'C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_MyHtmlResource' as it matches a mapping directive
2021-11-10 17:03:14.040 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Other\Customizations.xml
2021-11-10 17:03:14.044 - Verbose	Creating: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\Other\Solution.xml
2021-11-10 17:03:14.052 - Info	
Unmanaged Extract complete.

2021-11-10 17:03:14.090 - Warning	6 warnings encountered
2021-11-10 17:03:14.090 - Verbose	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Plugins\bin\' does not exist.
2021-11-10 17:03:14.090 - Verbose	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Webresources\Webresources\' does not exist.
2021-11-10 17:03:14.090 - Verbose	Map folder 'C:\Users\syed.amanullah\source\repos\SF365\Webresources\Webresources\' does not exist.
2021-11-10 17:03:14.091 - Verbose	Read-only files will be over-written or deleted.
2021-11-10 17:03:14.091 - Verbose	Solution may not repack due to missing mapped file for: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_\js\accountScripts.js
2021-11-10 17:03:14.091 - Verbose	Solution may not repack due to missing mapped file for: C:\Users\syed.amanullah\source\repos\SF365\Solutions\package\WebResources\new_MyHtmlResource
2021-11-10 17:03:14.094 - Verbose	CrmSvcUtil Runtime = 00:00:01.7919697
